,precipitation,temperature,max temperature,wind speed,relative humudity
Jan-30,0.005675573819,26.92713735,30.15131611,2.994813374,80.76641352
Feb-30,0.007582336735,27.06258511,30.31828235,3.107325125,81.63127356
Mar-30,0.008173634149,27.23019925,30.4235398,2.641146542,82.17825923
Apr-30,0.006854503392,27.57288017,30.69012072,2.235933142,81.37821282
May-30,0.0122606315,27.65014409,30.74062089,3.129634522,83.34297118
Jun-30,0.007568423649,27.67793657,30.86663885,2.958108091,81.7410108
Jul-30,0.008941641623,27.2220958,30.34365314,3.534123695,82.90486479
Aug-30,0.009574329219,27.06932572,30.14875417,3.930005506,83.29145286
Sep-30,0.00687299748,27.13577273,30.24576673,4.165118018,82.73849552
Oct-30,0.007003266181,26.98705136,30.17772204,3.669552427,81.95487933
Nov-30,0.009809287089,26.62077665,29.69302614,2.763842197,84.05418741
Dec-30,0.006433200972,26.3745728,29.64540882,2.569225565,80.82737078
Jan-31,0.005807018141,26.75797081,30.12422386,3.364374103,79.65381419
Feb-31,0.004133864594,27.23239623,30.54228978,2.53878437,79.20803027
Mar-31,0.005701377949,27.56524803,30.75035797,2.233599556,79.51969044
Apr-31,0.00670687951,27.69528737,30.74988672,2.041781746,81.2960885
May-31,0.008750639774,27.68073374,30.80086424,2.718398113,82.50025361
Jun-31,0.009251043251,27.75582372,30.98682983,3.858581467,82.43253168
Jul-31,0.007116447418,27.47088828,30.7504593,4.154938548,81.2372482
Aug-31,0.004636001517,27.61212987,30.93082402,4.202840154,79.29248349
Sep-31,0.002978408701,27.7115227,31.27473039,3.840329311,76.1315629
Oct-31,0.004488288732,27.12951966,30.54912627,3.597965116,78.53374138
Nov-31,0.006620470622,26.62029653,29.85982607,2.927950876,81.25845934
Dec-31,0.006190113926,26.27916958,29.44940734,2.584812912,82.12415386
Jan-32,0.006542612877,26.4239768,29.56043122,2.770736724,82.01865312
Feb-32,0.004711158813,27.05906015,30.28962754,2.699475466,80.84198179
Mar-32,0.004489274099,27.64991215,30.89041098,2.21018602,79.67327015
Apr-32,0.004020427393,27.94577673,31.15594337,2.069482347,77.60548573
May-32,0.005361552622,27.88212822,31.0985163,2.43074781,79.4058752
Jun-32,0.007422656677,27.82299968,31.11595092,3.246476275,81.12530152
Jul-32,0.006350432153,27.85098297,31.0718116,3.359698294,80.89991782
Aug-32,0.008402529678,27.71278232,30.99582245,4.001995257,81.4687146
Sep-32,0.006457372198,27.69941825,31.03387543,3.739965645,80.27063231
Oct-32,0.006466284855,27.60924171,30.89897798,3.57934869,80.13452704
Nov-32,0.008662379339,27.16220836,30.37140398,3.10034893,81.48457114
Dec-32,0.007169690523,26.76467663,29.93147545,2.509587795,81.69909597
